year,ic,name,companyId,address,share
2019,05081068,,,,
2019,00409171,"Cíl, akciová společnost v Praze",26165376.0,"Hybernská 1033/7, Nové Město,  11000 Praha 1",100.0
2019,03116603,,,,
2019,71339655,,,,
2019,03217116,,,,
2019,07118317,,,,
2019,03221199,,,,
2019,71339752,,,,
2019,71339922,,,,
2019,26673908,,,,
2019,71443444,,,,
2019,71340009,,,,
2019,71339612,,,,
2019,03251501,,,,
2019,26582406,,,,
2019,12345678,,,,
2019,03143848,,,,
2019,71339728,,,,
2019,02749947,,,,
2019,08288909,,,,
2019,07986858,,,,
2019,02790840,,,,
2019,06335233,,,,
2019,68954263,,,,
2019,07195389,,,,
2019,71443355,,,,
2019,07301600,,,,
2019,71339892,,,,
2019,04616421,,,,
2019,71339817,,,,
2019,68210396,,,,
2019,27040097,,,,
2019,04997808,,,,
2019,03247686,,,,
2019,71340084,,,,
2019,00409740,,,,
2019,68684011,,,,
2019,07156871,,,,
2019,71443363,,,,
2019,04756291,,,,
2019,71339850,,,,
2019,07202059,,,,
2019,03136922,,,,
2020,05402450,,,,
2020,04627695,,,,
2020,09227041,,,,
2020,71443274,,,,
2020,07289731,,,,
2020,05989175,,,,
2020,06048099,,,,
2020,26587840,,,,
2020,07204752,,,,
2020,05103487,,,,
2020,09182004,,,,
2020,05754577,,,,
2020,71443428,,,,
2020,07290853,,,,
2020,03094553,,,,
2020,00442721,,,,
2020,27015904,,,,
2020,71443207,,,,
2020,71443240,,,,
2020,07972733,,,,
2020,07307977,,,,
2020,04997841,,,,
2020,05391628,,,,
2020,03168786,,,,
2020,03204723,,,,
2020,02674831,,,,
2020,07921331,,,,
2020,71443185,,,,
2020,68321457,,,,
2020,03174531,,,,
2020,27039145,,,,
2020,09233229,,,,
2020,26600218,,,,
2020,71443312,,,,
2020,02733552,,,,
2020,04889321,,,,
2020,71339965,,,,
2020,00442704,Nový Hlas s.r.o.,26505576.0,"Karlovo náměstí 317/5, Praha 2, 128 00",100.0
2020,07196989,,,,
2020,27034321,,,,
2020,15271960,,,,
2020,71339973,,,,
2020,00496936,"FUTURA, a.s.",16192893.0,"Politických vězňů 9, 111 21 Praha 1",92.0
2020,03152952,,,,
2020,71339582,,,,
2020,71443606,,,,
2020,49628089,,,,
2020,60456400,,,,
2020,07157029,,,,
2020,68455941,,,,
2020,26598647,,,,
2020,03254747,,,,
2020,44266740,,,,
2020,60556625,,,,
2020,09301020,,,,
2020,07027761,,,,
2020,07286210,,,,
2020,07312946,,,,
2020,71443452,,,,
2020,09340718,,,,
2020,60458399,,,,
2020,71339779,,,,
2020,27034500,,,,
2020,71443649,,,,
2020,27053024,,,,
2020,71443584,,,,
2020,03174697,,,,
2020,03016242,,,,
2020,26668980,,,,
2020,16192656,Adved s.r.o.,28925009.0,"Truhlářská 1106/9, Nové Město, 110 00 Praha 1",50.0
2020,06860176,,,,
2020,03099598,,,,
2020,71443517,,,,
2020,03221083,,,,
2020,71443215,,,,
2020,09363149,,,,
2020,71443681,,,,
2020,03080935,,,,
2020,71339698,1. Pirátská s.r.o.,6194559.0,"Na Moráni 360/3, Praha 2, 128 00",100.0
2020,03170624,,,,
2020,08960909,,,,
2020,71443550,,,,
2020,02885573,,,,
2020,07283652,,,,
2020,04756339,,,,
2020,03204669,,,,
2020,71339809,,,,
2020,27038131,,,,
2020,03091805,,,,
2020,03254763,,,,
2020,71443380,,,,
2020,26595940,,,,
2020,27026922,,,,
2020,06695205,,,,
2020,71443347,,,,
2020,71339485,,,,
2020,71339990,,,,
2020,70869553,,,,
2020,05081068,,,,
2020,00409171,"Cíl, akciová společnost v Praze",26165376.0,"Hybernská 1033/7, 11000 Praha 1",100.0
2020,03116603,,,,
2020,71339655,,,,
2020,03217116,,,,
2020,07118317,,,,
2020,03221199,,,,
2020,71339752,,,,
2020,71339922,,,,
2020,26673908,,,,
2020,71443444,,,,
2020,71340009,,,,
2020,71339612,,,,
2020,03251501,,,,
2020,71443177,,,,
2020,26582406,,,,
2020,03143848,,,,
2020,71339728,,,,
2020,02749947,,,,
2020,08288909,,,,
2020,07986858,,,,
2020,02790840,,,,
2020,68954263,,,,
2020,07195389,,,,
2020,71443355,,,,
2020,07301600,,,,
2020,71339892,,,,
2020,04616421,,,,
2020,71339817,,,,
2020,68210396,,,,
2020,27040097,,,,
2020,07324758,,,,
2020,04997808,,,,
2020,03247686,,,,
2020,08773297,,,,
2020,71340084,,,,
2020,00409740,,,,
2020,68684011,,,,
2020,07156871,,,,
2020,71443363,,,,
2020,71443401,,,,
2020,71339850,,,,
2020,07202059,,,,
2020,03136922,,,,
2021,05402450,,,,
2021,04627695,,,,
2021,71443274,,,,
2021,07289731,,,,
2021,05989175,,,,
2021,26587840,,,,
2021,07204752,,,,
2021,05103487,,,,
2021,09182004,,,,
2021,03094553,,,,
2021,00442721,,,,
2021,27015904,,,,
2021,71443207,,,,
2021,71443240,,,,
2021,07972733,,,,
2021,09977023,,,,
2021,04997841,,,,
2021,05391628,,,,
2021,10954899,,,,
2021,03168786,,,,
2021,03204723,,,,
2021,07921331,,,,
2021,71443185,,,,
2021,68321457,,,,
2021,03174531,,,,
2021,27039145,,,,
2021,09233229,,,,
2021,26600218,,,,
2021,71443312,,,,
2021,02733552,,,,
2021,04889321,,,,
2021,71339965,,,,
2021,07196989,,,,
2021,27034321,,,,
2021,15271960,,,,
