year,ic,key,description,amount
2017,00539996,3c,volba prezidenta republiky,0.0
2017,00539996,3d,volby do zastupitelstev krajů,0.0
2017,00539996,3e,volby do zastupitelstev obcí,0.0
2017,00539996,3f,volby do Evropského parlamentu,0.0
2017,00442704,1,Mzdové výdaje,18471405.0
2017,00442704,2,"Výdaje na daně, poplatky a jiná obdobná peněžitá plnění",1373427.0
2017,00442704,3a,volby do Poslanecké sněmovny Parlamentu ČR,55620782.0
2017,00442704,3b,volby do Senátu Parlamentu ČR,0.0
2017,00442704,3c,volba prezidenta republiky,0.0
2017,00442704,3d,volby do zastupitelstev krajů,0.0
2017,00442704,3e,volby do zastupitelstev obcí,0.0
2017,00442704,3f,volby do Evropského parlamentu,0.0
2017,27034321,1,Mzdové výdaje,0.0
2017,27034321,2,"Výdaje na daně, poplatky a jiná obdobná peněžitá plnění",20098.91
2017,27034321,3a,volby do Poslanecké sněmovny Parlamentu ČR,0.0
2017,27034321,3b,volby do Senátu Parlamentu ČR,0.0
2017,27034321,3c,volba prezidenta republiky,0.0
2017,27034321,3d,volby do zastupitelstev krajů,0.0
2017,27034321,3e,volby do zastupitelstev obcí,0.0
2017,27034321,3f,volby do Evropského parlamentu,0.0
2017,70226709,1,Mzdové výdaje,0.0
2017,70226709,2,"Výdaje na daně, poplatky a jiná obdobná peněžitá plnění",4902.0
2017,70226709,3a,volby do Poslanecké sněmovny Parlamentu ČR,0.0
2017,70226709,3b,volby do Senátu Parlamentu ČR,0.0
2017,70226709,3c,volba prezidenta republiky,0.0
2017,70226709,3d,volby do zastupitelstev krajů,0.0
2017,70226709,3e,volby do zastupitelstev obcí,0.0
2017,70226709,3f,volby do Evropského parlamentu,0.0
2017,26592118,1,Mzdové výdaje,2962.0
2017,26592118,2,"Výdaje na daně, poplatky a jiná obdobná peněžitá plnění",2962.0
2017,26592118,3a,volby do Poslanecké sněmovny Parlamentu ČR,0.0
2017,26592118,3b,volby do Senátu Parlamentu ČR,0.0
