year,ic,key,description,amount
2017,06576095,9,"Příjmy z pořádání tombol, kulturních, společenských, sportovních, rekreačních, vzdělávacích a politických akcí",0.0
2017,06576095,10,"Zápůjčky a úvěry poskytnuté bankou, platební institucí nebo institucí elektronických peněz nebo pobočkou zahraniční banky, platební instituce nebo instituce elektronických peněz na území České republiky",0.0
2017,06576095,11,Příspěvek ze státního rozpočtu České republiky na podporu činnosti politického institutu,0.0
2017,03204723,1,Příjmy celkem,613245.0
2017,03204723,2,Příspěvek ze státního rozpočtu České republiky na úhradu volebních nákladů,90908.0
2017,03204723,3,Příspěvek ze státního rozpočtu České republiky na činnost strany a hnutí (příspěvek na činnost),383907.0
2017,03204723,4,Členské příspěvky,0.0
2017,03204723,5,"Dary, dědictví a bezúplatná plnění",138430.0
2017,03204723,6,"Příjmy z nájmu, pachtu a zcizení movitého a nemovitého majetku",0.0
2017,03204723,7,Úroky z vkladů,0.0
2017,03204723,8,"Příjmy vznikající z účasti na podnikání jiných právnických osob podle § 17 odst. 3 zák. č. 424/1991 Sb., ve znění pozdějších předpisů",0.0
2017,03204723,9,"Příjmy z pořádání tombol, kulturních, společenských, sportovních, rekreačních, vzdělávacích a politických akcí",0.0
2017,03204723,10,"Zápůjčky a úvěry poskytnuté bankou, platební institucí nebo institucí elektronických peněz nebo pobočkou zahraniční banky, platební instituce nebo instituce elektronických peněz na území České republiky",0.0
2017,03204723,11,Příspěvek ze státního rozpočtu České republiky na podporu činnosti politického institutu,0.0
2017,71443479,1,Příjmy celkem,1210.0
2017,71443479,2,Příspěvek ze státního rozpočtu České republiky na úhradu volebních nákladů,0.0
2017,71443479,3,Příspěvek ze státního rozpočtu České republiky na činnost strany a hnutí (příspěvek na činnost),0.0
2017,71443479,4,Členské příspěvky,0.0
2017,71443479,5,"Dary, dědictví a bezúplatná plnění",1210.0
2017,71443479,6,"Příjmy z nájmu, pachtu a zcizení movitého a nemovitého majetku",0.0
2017,71443479,7,Úroky z vkladů,0.0
2017,71443479,8,"Příjmy vznikající z účasti na podnikání jiných právnických osob podle § 17 odst. 3 zák. č. 424/1991 Sb., ve znění pozdějších předpisů",0.0
2017,71443479,9,"Příjmy z pořádání tombol, kulturních, společenských, sportovních, rekreačních, vzdělávacích a politických akcí",0.0
2017,71443479,10,"Zápůjčky a úvěry poskytnuté bankou, platební institucí nebo institucí elektronických peněz nebo pobočkou zahraniční banky, platební instituce nebo instituce elektronických peněz na území České republiky",0.0
2017,71443479,11,Příspěvek ze státního rozpočtu České republiky na podporu činnosti politického institutu,0.0
2017,71443185,1,Příjmy celkem,817569.0
2017,71443185,2,Příspěvek ze státního rozpočtu České republiky na úhradu volebních nákladů,0.0
2017,71443185,3,Příspěvek ze státního rozpočtu České republiky na činnost strany a hnutí (příspěvek na činnost),250000.0
2017,71443185,4,Členské příspěvky,12000.0
2017,71443185,5,"Dary, dědictví a bezúplatná plnění",555035.0
2017,71443185,6,"Příjmy z nájmu, pachtu a zcizení movitého a nemovitého majetku",0.0
2017,71443185,7,Úroky z vkladů,534.0
2017,71443185,8,"Příjmy vznikající z účasti na podnikání jiných právnických osob podle § 17 odst. 3 zák. č. 424/1991 Sb., ve znění pozdějších předpisů",0.0
2017,71443185,9,"Příjmy z pořádání tombol, kulturních, společenských, sportovních, rekreačních, vzdělávacích a politických akcí",0.0
2017,71443185,10,"Zápůjčky a úvěry poskytnuté bankou, platební institucí nebo institucí elektronických peněz nebo pobočkou zahraniční banky, platební instituce nebo instituce elektronických peněz na území České republiky",0.0
2017,71443185,11,Příspěvek ze státního rozpočtu České republiky na podporu činnosti politického institutu,0.0
2017,02985349,1,Příjmy celkem,200.0
2017,02985349,2,Příspěvek ze státního rozpočtu České republiky na úhradu volebních nákladů,0.0
2017,02985349,3,Příspěvek ze státního rozpočtu České republiky na činnost strany a hnutí (příspěvek na činnost),0.0
2017,02985349,4,Členské příspěvky,0.0
2017,02985349,5,"Dary, dědictví a bezúplatná plnění",200.0
2017,02985349,6,"Příjmy z nájmu, pachtu a zcizení movitého a nemovitého majetku",0.0
2017,02985349,7,Úroky z vkladů,0.0
2017,02985349,8,"Příjmy vznikající z účasti na podnikání jiných právnických osob podle § 17 odst. 3 zák. č. 424/1991 Sb., ve znění pozdějších předpisů",0.0
2017,02985349,9,"Příjmy z pořádání tombol, kulturních, společenských, sportovních, rekreačních, vzdělávacích a politických akcí",0.0
2017,02985349,10,"Zápůjčky a úvěry poskytnuté bankou, platební institucí nebo institucí elektronických peněz nebo pobočkou zahraniční banky, platební instituce nebo instituce elektronických peněz na území České republiky",0.0
2017,02985349,11,Příspěvek ze státního rozpočtu České republiky na podporu činnosti politického institutu,0.0
