year,ic,date,money,donor_key
2017,16192656,2017-10-13,15000.0,po.477
2017,16192656,2017-12-15,68500.0,po.478
2017,16192656,2017-07-07,20000.0,po.478
2017,16192656,2017-10-04,100000.0,po.201
2017,16192656,2017-08-22,10000.0,po.481
2017,16192656,2017-06-27,20000.0,po.482
2017,16192656,2017-01-19,0.0,po.483
2017,16192656,2017-10-24,0.0,po.484
2017,16192656,2017-07-18,17700.0,po.485
2017,16192656,2017-08-07,10000.0,po.486
2017,16192656,2017-07-26,100000.0,po.487
2017,16192656,2017-10-05,50000.0,po.488
2017,16192656,2017-07-11,100000.0,po.489
2017,16192656,2017-08-18,0.0,po.490
2017,16192656,2017-08-08,10000.0,po.491
2017,16192656,2017-09-06,0.0,po.492
2017,16192656,2017-06-13,50000.0,po.493
2017,16192656,2017-08-08,0.0,po.494
2017,16192656,2017-08-10,13000.0,po.495
2017,16192656,2017-08-09,15000.0,po.496
2017,16192656,2017-09-06,50000.0,po.497
2017,16192656,2017-06-14,10000.0,po.498
2017,16192656,2017-10-04,0.0,po.499
2017,16192656,2017-09-18,35000.0,po.500
2017,16192656,2017-06-20,10000.0,po.501
2017,16192656,2017-09-29,0.0,po.502
2017,16192656,2017-06-29,50000.0,po.503
2017,16192656,2017-09-15,50000.0,po.504
2017,16192656,2017-06-27,40000.0,po.505
2017,16192656,2017-08-11,0.0,po.505
2017,16192656,2017-09-21,0.0,po.505
2017,16192656,2017-08-12,5000.0,po.508
2017,16192656,2017-08-28,10000.0,po.230
2017,16192656,2017-05-21,100000.0,po.510
2017,16192656,2017-09-13,3000.0,po.511
2017,16192656,2017-10-06,0.0,po.512
2017,16192656,2017-08-13,10000.0,po.513
2017,16192656,2017-07-14,12000.0,po.514
2017,16192656,2017-08-09,50000.0,po.515
2017,16192656,2017-08-11,50000.0,po.516
2017,16192656,2017-06-15,50000.0,po.517
2017,16192656,2017-09-12,50000.0,po.518
2017,16192656,2017-06-29,50000.0,po.519
2017,16192656,2017-09-22,0.0,po.520
2017,16192656,2017-09-19,0.0,po.521
2017,16192656,2017-09-24,50000.0,po.522
2017,16192656,2017-09-24,50000.0,po.522
2017,16192656,2017-09-25,0.0,po.524
2017,16192656,2017-01-19,0.0,po.524
2017,16192656,2017-07-26,10000.0,po.526
2017,16192656,2017-10-09,0.0,po.527
2017,16192656,2017-10-05,0.0,po.527
2017,16192656,2017-09-20,0.0,po.527
2017,16192656,2017-06-14,10000.0,po.530
2017,16192656,2017-09-21,0.0,po.531
2017,16192656,2017-07-28,10000.0,po.532
2017,16192656,2017-06-14,20000.0,po.533
2017,16192656,2017-04-25,50000.0,po.534
2017,16192656,2017-08-08,7000.0,po.535
2017,16192656,2017-09-29,0.0,po.536
