year,ic,job,number
2021,71339485,Administrativní práce,3.0
2021,07218443,,
2021,71339990,,
2021,70869553,,
2021,05081068,Administrátor,1.0
2021,11661704,,
2021,00409171,Organizační práce v území,30.0
2021,00409171,Organizační práce v ústředí,8.0
2021,00409171,Tisková mluvčí,1.0
2021,00409171,THP práce,10.0
2021,00409171,Poradce,1.0
2021,00409171,Účetní,3.0
2021,00409171,Ústřední tajemník,1.0
2021,00409171,Archivář,1.0
2021,03116603,,
2021,71339655,,
2021,03217116,,
2021,07118317,,
2021,03221199,,
2021,71339752,Administrativa,1.0
2021,71339922,,
2021,26673908,Administrativní práce - přepočteno na FTE a zaokrouhleno,2.0
2021,26673908,Právník - přepočteno na FTE,1.0
2021,71443444,,
2021,71340009,,
2021,71339612,administrativní práce,2.0
2021,03251501,,
2021,71443177,"Roznos letáků, dohoda o provedení práce v předvolební kampani 2021",10.0
2021,26582406,,
2021,03143848,,
2021,71339728,generální sekretář,1.0
2021,71339728,tiskový mluvčí,1.0
2021,71339728,asistent,2.0
2021,71339728,analytik,2.0
2021,02749947,,
2021,07986858,,
2021,02790840,,
2021,68954263,,
2021,07195389,,
2021,71443355,Činnost tajemníka politického hnutí Východočeši,1.0
2021,07301600,DPP,1.0
2021,71339892,,
2021,04616421,,
2021,71339817,,
2021,27040097,,
2021,07324758,,
2021,04997808,,
2021,03247686,,
2021,08773297,,
2021,71340084,,
2021,00409740,,
2021,68684011,,
2021,07156871,,
2021,71443363,,
2021,71339850,,
2021,07202059,,
2021,03136922,,
2022,17262984,,
2022,05402450,,
2022,14369664,,
2022,04627695,,
2022,71443339,Krajský manažer,14.0
2022,71443339,PR specialita,5.0
2022,71443339,Asistent,5.0
2022,71443339,Specialista vnitřní legislativy,1.0
2022,71443339,Office manažer,1.0
2022,71443274,,
2022,07289731,,
2022,05989175,,
2022,14179792,,
2022,26587840,,
2022,05103487,,
2022,14334887,,
2022,05754577,,
2022,03094553,,
2022,00442721,,
2022,71443207,,
2022,71443240,,
2022,07972733,,
2022,09977023,,
2022,71443142,,
2022,04997841,,
2022,05391628,,
2022,10954899,Administrativní a propagační činnost,1.0
2022,10954899,Výkon volební kampaně,3.0
2022,03204723,,
2022,02674831,,
2022,07921331,,
2022,71443185,,
2022,68321457,,
2022,03174531,,
2022,27039145,,
2022,09233229,,
2022,14290910,,
2022,71443312,,
2022,02733552,,
2022,04889321,,
2022,71339965,,
2022,00442704,Generální sekretář,1.0
2022,00442704,Asistent,3.0
2022,00442704,"Tiskový mluvčí, koordinátor tiskového úseku",2.0
2022,00442704,Mediální asistent,1.0
2022,00442704,Zahraniční tajemník,1.0
2022,00442704,Personalista a účetní,4.0
2022,00442704,Informatik,2.0
2022,00442704,Analytik,1.0
2022,00442704,Technická správa,8.0
2022,00442704,Krajský manažer a organizační pracovník,17.0
2022,00442704,Volební manažer,1.0
2022,07196989,,
2022,27034321,,
2022,15271960,,
2022,71339973,,
2022,00496936,politický pracovník/pracovnice,100.0
2022,00496936,odborný pracovník/pracovnice,55.0
