date_year,party_key,job_key,job_count
2018-01-01,16192656,22.0,16.0
2018-01-01,16192656,152.0,11.0
2018-01-01,16192656,14.0,6.0
2018-01-01,16192656,142.0,11.0
2018-01-01,16192656,159.0,3.0
2018-01-01,6860176,,
2018-01-01,3099598,,
2018-01-01,71443517,,
2018-01-01,3221083,40.0,1.0
2018-01-01,71443215,13.0,3.0
2018-01-01,71443410,,
2018-01-01,3080935,,
2018-01-01,71339698,2.0,23.0
2018-01-01,3170624,,
2018-01-01,71443550,,
2018-01-01,2885573,,
2018-01-01,7283652,,
2018-01-01,3204669,14.0,3.0
2018-01-01,71339809,,
2018-01-01,27038131,,
2018-01-01,3091805,,
2018-01-01,3254763,,
2018-01-01,6339875,,
2018-01-01,5632595,,1.0
2018-01-01,71443380,,
2018-01-01,26595940,,
2018-01-01,27026922,,
2018-01-01,6695205,,
2018-01-01,71339485,,
2018-01-01,70869553,,
2018-01-01,5081068,,
2018-01-01,409171,96.0,89.0
2018-01-01,409171,94.0,14.0
2018-01-01,409171,148.0,1.0
2018-01-01,409171,157.0,1.0
2018-01-01,409171,51.0,1.0
2018-01-01,409171,145.0,8.0
2018-01-01,409171,105.0,1.0
2018-01-01,409171,25.0,2.0
2018-01-01,409171,150.0,4.0
2018-01-01,3116603,,
2018-01-01,3217116,,
2018-01-01,7118317,116.0,1.0
2018-01-01,3221199,,
2018-01-01,71339752,8.0,3.0
2018-01-01,26673908,14.0,1.0
2018-01-01,71443444,,
2018-01-01,71340009,,
2018-01-01,71339612,,
2018-01-01,3251501,,
2018-01-01,26582406,,
2018-01-01,3143848,,
2018-01-01,71339728,54.0,1.0
2018-01-01,71339728,148.0,1.0
2018-01-01,71339728,28.0,3.0
2018-01-01,71339728,67.0,1.0
2018-01-01,2749947,,
2018-01-01,2790840,,
2018-01-01,6335233,,
2018-01-01,68954263,,
2018-01-01,71443355,,
2018-01-01,7301600,39.0,6.0
2018-01-01,64933911,,
2018-01-01,71339817,,
2018-01-01,68210396,,
2018-01-01,27040097,,
2018-01-01,3247686,,
2018-01-01,409740,140.0,1.0
2018-01-01,68684011,,
2018-01-01,71443363,123.0,1.0
2018-01-01,4756291,,
2018-01-01,71443401,,
2018-01-01,7202059,,
2018-01-01,3136922,,
2019-01-01,5402450,,
2019-01-01,4627695,,
2019-01-01,71443339,75.0,14.0
2019-01-01,71443339,108.0,2.0
2019-01-01,71443339,31.0,3.0
2019-01-01,71443339,131.0,1.0
2019-01-01,71443339,129.0,1.0
2019-01-01,71443274,,
2019-01-01,7289731,,
2019-01-01,5989175,,
2019-01-01,26587840,,
2019-01-01,7204752,,
2019-01-01,5103487,,
2019-01-01,5754577,45.0,1.0
2019-01-01,71443428,,
2019-01-01,7290853,,
2019-01-01,3094553,,
2019-01-01,442721,,
2019-01-01,71443207,,
2019-01-01,71443240,,
2019-01-01,7972733,,
2019-01-01,7307977,,
2019-01-01,5391628,,
2019-01-01,3168786,,
2019-01-01,3204723,,
2019-01-01,2674831,,
2019-01-01,7921331,,
2019-01-01,71443185,,
2019-01-01,68321457,,
2019-01-01,3174531,,
2019-01-01,27039145,,
2019-01-01,26600218,,
2019-01-01,7991070,,
2019-01-01,71443312,,
2019-01-01,2733552,,
2019-01-01,4889321,,
2019-01-01,71339965,,
2019-01-01,442704,55.0,1.0
2019-01-01,442704,27.0,2.0
2019-01-01,442704,147.0,1.0
2019-01-01,442704,84.0,1.0
2019-01-01,442704,164.0,1.0
2019-01-01,442704,98.0,3.0
2019-01-01,442704,64.0,2.0
2019-01-01,442704,24.0,1.0
2019-01-01,442704,141.0,8.0
2019-01-01,442704,77.0,18.0
2019-01-01,7196989,,
2019-01-01,27034321,,
2019-01-01,15271960,,
2019-01-01,71339973,,
2019-01-01,496936,101.0,123.0
2019-01-01,496936,90.0,74.0
2019-01-01,496936,62.0,50.0
2019-01-01,3152952,,
2019-01-01,71339582,,
2019-01-01,71443606,,
2019-01-01,49628089,,
2019-01-01,60456400,,
2019-01-01,7157029,,
2019-01-01,68455941,,
2019-01-01,3254747,,
2019-01-01,44266740,55.0,1.0
2019-01-01,7027761,,
2019-01-01,7286210,,
2019-01-01,7312946,,
2019-01-01,71443452,,
2019-01-01,69345473,,
2019-01-01,60458399,10.0,1.0
2019-01-01,71339779,,
2019-01-01,27034500,,
2019-01-01,71443649,,
2019-01-01,27053024,,
2019-01-01,3219208,,
2019-01-01,71443584,,
2019-01-01,3174697,,
2019-01-01,3016242,,
2019-01-01,26668980,,
2019-01-01,16192656,22.0,15.0
2019-01-01,16192656,152.0,10.0
2019-01-01,16192656,14.0,6.0
2019-01-01,16192656,142.0,10.0
2019-01-01,16192656,159.0,7.0
2019-01-01,6860176,,
2019-01-01,3099598,,
2019-01-01,71443517,,
2019-01-01,3221083,8.0,1.0
